user,method,equation,restrictions,opt_force_N,valid,invalid_reason,rmse_all_levels,rmse_fitted_samples,n_fitted_samples,max_push_force_N,coef_quad,coef_lin,coef_const,coef_exp_A,coef_exp_k,coef_exp_c
3,Linear,y = a·x + b,a ≤ 0 (falling); fit on all 4 levels,48.75000000000011,True,,3.1622776601683795,3.1622776601683795,4,261.35,,-0.4,68.00000000000004,,,
4,Linear,y = a·x + b,a ≤ 0 (falling); fit on all 4 levels,28.200000000000088,True,,2.672612419124245,2.672612419124245,4,216.67999999999998,,-0.3571428571428572,58.571428571428605,,,
5,Linear,y = a·x + b,a ≤ 0 (falling); fit on all 4 levels,21.666666666667382,True,,4.140393356054126,4.140393356054126,4,172.04,,-0.04285714285714285,49.42857142857146,,,
6,Linear,y = a·x + b,a ≤ 0 (falling); fit on all 4 levels,435.0000000000006,False,crossing above 300 N,3.1622776601683795,3.1622776601683795,4,106.76,,-0.09999999999999995,92.00000000000004,,,
7,Linear,y = a·x + b,a ≤ 0 (falling); fit on all 4 levels,153.88888888888937,True,,2.0701966780270613,2.0701966780270613,4,96.82,,-0.1285714285714284,68.28571428571432,,,
8,Linear,y = a·x + b,a ≤ 0 (falling); fit on all 4 levels,,False,no crossing,8.2915619758885,8.2915619758885,4,209.39,,-3.311953624479896e-25,62.5,,,
9,Linear,y = a·x + b,a ≤ 0 (falling); fit on all 4 levels,7.812500000000173,True,,2.0701966780270626,2.0701966780270626,4,246.76,,-0.22857142857142884,50.28571428571433,,,
10,Linear,y = a·x + b,a ≤ 0 (falling); fit on all 4 levels,63.00000000000007,True,,12.24744871391589,12.24744871391589,4,192.43999999999997,,-0.5000000000000003,80.00000000000006,,,
11,Linear,y = a·x + b,a ≤ 0 (falling); fit on all 4 levels,165.9090909090912,True,,9.856107606091623,9.856107606091623,4,109.79,,-0.1571428571428572,74.57142857142863,,,
12,Linear,y = a·x + b,a ≤ 0 (falling); fit on all 4 levels,51.56250000000013,True,,2.0701966780270626,2.0701966780270626,4,66.77,,-0.22857142857142881,60.28571428571433,,,
13,Linear,y = a·x + b,a ≤ 0 (falling); fit on all 4 levels,-19.749999999999925,False,crossing below 0 N,5.3452248382484875,5.3452248382484875,4,201.9,,-0.28571428571428586,42.857142857142875,,,
14,Linear,y = a·x + b,a ≤ 0 (falling); fit on all 4 levels,48.750000000000114,True,,10.488088481701517,10.488088481701517,4,89.87,,-0.40000000000000024,68.00000000000006,,,
15,Linear,y = a·x + b,a ≤ 0 (falling); fit on all 4 levels,97.50000000000007,True,,11.77163661397295,11.77163661397295,4,230.66,,-0.3142857142857146,79.1428571428572,,,
16,Linear,y = a·x + b,a ≤ 0 (falling); fit on all 4 levels,95.90909090909098,True,,8.618916073713343,8.618916073713343,4,189.39,,-0.4714285714285721,93.71428571428581,,,
17,Linear,y = a·x + b,a ≤ 0 (falling); fit on all 4 levels,123.75000000000014,True,,14.491376746189438,14.491376746189438,4,191.56000000000003,,-0.4,98.00000000000006,,,
18,Linear,y = a·x + b,a ≤ 0 (falling); fit on all 4 levels,95.31250000000016,True,,2.0701966780270613,2.0701966780270613,4,141.85,,-0.228571428571429,70.28571428571436,,,
19,Linear,y = a·x + b,a ≤ 0 (falling); fit on all 4 levels,,False,no crossing,10.897247358851684,10.897247358851684,4,244.26,,-4.632696106437123e-25,57.5,,,
20,Linear,y = a·x + b,a ≤ 0 (falling); fit on all 4 levels,15.250000000000108,True,,8.864052604279182,8.864052604279182,4,161.18,,-0.2857142857142858,52.85714285714289,,,
21,Linear,y = a·x + b,a ≤ 0 (falling); fit on all 4 levels,65.68181818181826,True,,6.210590034081185,6.210590034081185,4,149.61,,-0.3142857142857143,69.14285714285717,,,
22,Linear,y = a·x + b,a ≤ 0 (falling); fit on all 4 levels,,False,no crossing,12.99038105676658,12.99038105676658,4,141.23,,-4.632696106437123e-25,57.5,,,
23,Linear,y = a·x + b,a ≤ 0 (falling); fit on all 4 levels,90.50000000000018,True,,2.672612419124243,2.672612419124243,4,138.16,,-0.1428571428571429,61.42857142857146,,,
24,Linear,y = a·x + b,a ≤ 0 (falling); fit on all 4 levels,,False,no crossing,5.0,5.0,4,190.99,,-4.239535222586108e-20,65.0,,,
25,Linear,y = a·x + b,a ≤ 0 (falling); fit on all 4 levels,,False,no crossing,10.0,10.0,4,247.73,,-9.20183951282149e-18,60.0,,,
26,Linear,y = a·x + b,a ≤ 0 (falling); fit on all 4 levels,-72.49999999999982,False,crossing below 0 N,6.324555320336759,6.324555320336759,4,146.79,,-0.20000000000000012,34.00000000000003,,,
27,Linear,y = a·x + b,a ≤ 0 (falling); fit on all 4 levels,73.75000000000004,True,,3.1622776601683795,3.1622776601683795,4,225.4,,-0.40000000000000036,78.00000000000004,,,
